,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,mpg
200,6,250.0,78.00,3574.0,21.0,76,1,ford granada ghia,18.0
201,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj,18.5
202,6,258.0,95.00,3193.0,17.8,76,1,amc pacer d/l,17.5
203,4,97.0,71.00,1825.0,12.2,76,2,volkswagen rabbit,29.5
204,4,85.0,70.00,1990.0,17.0,76,3,datsun b-210,32.0
205,4,97.0,75.00,2155.0,16.4,76,3,toyota corolla,28.0
206,4,140.0,72.00,2565.0,13.6,76,1,ford pinto,26.5
207,4,130.0,102.0,3150.0,15.7,76,2,volvo 245,20.0
208,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8,13.0
209,4,120.0,88.00,3270.0,21.9,76,2,peugeot 504,19.0
210,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii,19.0
211,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s,16.5
212,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville,16.5
213,8,350.0,145.0,4055.0,12.0,76,1,chevy c10,13.0
214,8,302.0,130.0,3870.0,15.0,76,1,ford f108,13.0
215,8,318.0,150.0,3755.0,14.0,76,1,dodge d100,13.0
216,4,98.0,68.00,2045.0,18.5,77,3,honda accord cvcc,31.5
217,4,111.0,80.00,2155.0,14.8,77,1,buick opel isuzu deluxe,30.0
218,4,79.0,58.00,1825.0,18.6,77,2,renault 5 gtl,36.0
219,4,122.0,96.00,2300.0,15.5,77,1,plymouth arrow gs,25.5
220,4,85.0,70.00,1945.0,16.8,77,3,datsun f-10 hatchback,33.5
221,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic,17.5
222,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme,17.0
223,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham,15.5
224,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham,15.0
225,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours,17.5
226,6,231.0,105.0,3425.0,16.9,77,1,buick skylark,20.5
227,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom,19.0
228,6,250.0,98.00,3525.0,19.0,77,1,ford granada,18.5
229,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj,16.0
230,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau,15.5
231,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba,15.5
232,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird,16.0
233,4,97.0,78.00,1940.0,14.5,77,2,volkswagen rabbit custom,29.0
234,4,151.0,88.00,2740.0,16.0,77,1,pontiac sunbird coupe,24.5
235,4,97.0,75.00,2265.0,18.2,77,3,toyota corolla liftback,26.0
236,4,140.0,89.00,2755.0,15.8,77,1,ford mustang ii 2+2,25.5
237,4,98.0,63.00,2051.0,17.0,77,1,chevrolet chevette,30.5
238,4,98.0,83.00,2075.0,15.9,77,1,dodge colt m/m,33.5
239,4,97.0,67.00,1985.0,16.4,77,3,subaru dl,30.0
240,4,97.0,78.00,2190.0,14.1,77,2,volkswagen dasher,30.5
241,6,146.0,97.00,2815.0,14.5,77,3,datsun 810,22.0
242,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i,21.5
243,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4,21.5
244,4,90.0,48.00,1985.0,21.5,78,2,volkswagen rabbit custom diesel,43.1
245,4,98.0,66.00,1800.0,14.4,78,1,ford fiesta,36.1
246,4,78.0,52.00,1985.0,19.4,78,3,mazda glc deluxe,32.8
247,4,85.0,70.00,2070.0,18.6,78,3,datsun b210 gx,39.4
248,4,91.0,60.00,1800.0,16.4,78,3,honda civic cvcc,36.1
249,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham,19.9
250,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat,19.4
251,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia,20.2
252,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj,19.2
253,6,200.0,95.00,3155.0,18.2,78,1,chevrolet malibu,20.5
254,6,200.0,85.00,2965.0,15.8,78,1,ford fairmont (auto),20.2
255,4,140.0,88.00,2720.0,15.4,78,1,ford fairmont (man),25.1
256,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare,20.5
257,6,232.0,90.00,3210.0,17.2,78,1,amc concord,19.4
258,6,231.0,105.0,3380.0,15.8,78,1,buick century special,20.6
259,6,200.0,85.00,3070.0,16.7,78,1,mercury zephyr,20.8
260,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen,18.6
261,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l,18.1
262,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau,19.2
263,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo),17.7
264,8,302.0,139.0,3205.0,11.2,78,1,ford futura,18.1
265,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe,17.5
266,4,98.0,68.00,2155.0,16.5,78,1,chevrolet chevette,30.0
267,4,134.0,95.00,2560.0,14.2,78,3,toyota corona,27.5
268,4,119.0,97.00,2300.0,14.7,78,3,datsun 510,27.2
269,4,105.0,75.00,2230.0,14.5,78,1,dodge omni,30.9
270,4,134.0,95.00,2515.0,14.8,78,3,toyota celica gt liftback,21.1
271,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo,23.2
272,4,151.0,85.00,2855.0,17.6,78,1,oldsmobile starfire sx,23.8
273,4,119.0,97.00,2405.0,14.9,78,3,datsun 200-sx,23.9
274,5,131.0,103.0,2830.0,15.9,78,2,audi 5000,20.3
275,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl,17.0
276,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle,21.6
277,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl,16.2
278,4,89.0,71.00,1990.0,14.9,78,2,volkswagen scirocco,31.5
279,4,98.0,68.00,2135.0,16.6,78,3,honda accord lx,29.5
280,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6,21.5
281,6,200.0,85.00,2990.0,18.2,79,1,mercury zephyr 6,19.8
282,4,140.0,88.00,2890.0,17.3,79,1,ford fairmont 4,22.3
283,6,232.0,90.00,3265.0,18.2,79,1,amc concord dl 6,20.2
284,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6,20.6
285,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic,17.0
286,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau,17.6
287,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis,16.5
288,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis,18.2
289,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw),16.9
290,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw),15.5
291,8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw),19.2
292,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw),18.5
293,4,89.0,71.00,1925.0,14.0,79,2,vw rabbit custom,31.9
294,4,86.0,65.00,1975.0,15.2,79,3,maxda glc deluxe,34.1
295,4,98.0,80.00,1915.0,14.4,79,1,dodge colt hatchback custom,35.7
296,4,121.0,80.00,2670.0,15.0,79,1,amc spirit dl,27.4
297,5,183.0,77.00,3530.0,20.1,79,2,mercedes benz 300d,25.4
298,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado,23.0
299,4,141.0,71.00,3190.0,24.8,79,2,peugeot 504,27.2
300,8,260.0,90.00,3420.0,22.2,79,1,oldsmobile cutlass salon brougham,23.9
301,4,105.0,70.00,2200.0,13.2,79,1,plymouth horizon,34.2
302,4,105.0,70.00,2150.0,14.9,79,1,plymouth horizon tc3,34.5
303,4,85.0,65.00,2020.0,19.2,79,3,datsun 210,31.8
304,4,91.0,69.00,2130.0,14.7,79,2,fiat strada custom,37.3
305,4,151.0,90.00,2670.0,16.0,79,1,buick skylark limited,28.4
306,6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation,28.8
307,6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham,26.8
308,4,151.0,90.00,2556.0,13.2,79,1,pontiac phoenix,33.5
309,4,98.0,76.00,2144.0,14.7,80,2,vw rabbit,41.5
310,4,89.0,60.00,1968.0,18.8,80,3,toyota corolla tercel,38.1
311,4,98.0,70.00,2120.0,15.5,80,1,chevrolet chevette,32.1
312,4,86.0,65.00,2019.0,16.4,80,3,datsun 310,37.2
313,4,151.0,90.00,2678.0,16.5,80,1,chevrolet citation,28.0
314,4,140.0,88.00,2870.0,18.1,80,1,ford fairmont,26.4
315,4,151.0,90.00,3003.0,20.1,80,1,amc concord,24.3
316,6,225.0,90.00,3381.0,18.7,80,1,dodge aspen,19.1
317,4,97.0,78.00,2188.0,15.8,80,2,audi 4000,34.3
318,4,134.0,90.00,2711.0,15.5,80,3,toyota corona liftback,29.8
319,4,120.0,75.00,2542.0,17.5,80,3,mazda 626,31.3
320,4,119.0,92.00,2434.0,15.0,80,3,datsun 510 hatchback,37.0
321,4,108.0,75.00,2265.0,15.2,80,3,toyota corolla,32.2
322,4,86.0,65.00,2110.0,17.9,80,3,mazda glc,46.6
323,4,156.0,105.0,2800.0,14.4,80,1,dodge colt,27.9
324,4,85.0,65.00,2110.0,19.2,80,3,datsun 210,40.8
325,4,90.0,48.00,2085.0,21.7,80,2,vw rabbit c (diesel),44.3
326,4,90.0,48.00,2335.0,23.7,80,2,vw dasher (diesel),43.4
327,5,121.0,67.00,2950.0,19.9,80,2,audi 5000s (diesel),36.4
328,4,146.0,67.00,3250.0,21.8,80,2,mercedes-benz 240d,30.0
329,4,91.0,67.00,1850.0,13.8,80,3,honda civic 1500 gl,44.6
330,4,85.0,?,1835.0,17.3,80,2,renault lecar deluxe,40.9
331,4,97.0,67.00,2145.0,18.0,80,3,subaru dl,33.8
332,4,89.0,62.00,1845.0,15.3,80,2,vokswagen rabbit,29.8
333,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx,32.7
334,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs,23.7
335,4,122.0,88.00,2500.0,15.1,80,2,triumph tr7 coupe,35.0
336,4,140.0,?,2905.0,14.3,80,1,ford mustang cobra,23.6
337,4,107.0,72.00,2290.0,17.0,80,3,honda accord,32.4
338,4,135.0,84.00,2490.0,15.7,81,1,plymouth reliant,27.2
339,4,151.0,84.00,2635.0,16.4,81,1,buick skylark,26.6
340,4,156.0,92.00,2620.0,14.4,81,1,dodge aries wagon (sw),25.8
341,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation,23.5
342,4,135.0,84.00,2385.0,12.9,81,1,plymouth reliant,30.0
343,4,79.0,58.00,1755.0,16.9,81,3,toyota starlet,39.1
344,4,86.0,64.00,1875.0,16.4,81,1,plymouth champ,39.0
345,4,81.0,60.00,1760.0,16.1,81,3,honda civic 1300,35.1
346,4,97.0,67.00,2065.0,17.8,81,3,subaru,32.3
347,4,85.0,65.00,1975.0,19.4,81,3,datsun 210 mpg,37.0
348,4,89.0,62.00,2050.0,17.3,81,3,toyota tercel,37.7
349,4,91.0,68.00,1985.0,16.0,81,3,mazda glc 4,34.1
350,4,105.0,63.00,2215.0,14.9,81,1,plymouth horizon 4,34.7
351,4,98.0,65.00,2045.0,16.2,81,1,ford escort 4w,34.4
352,4,98.0,65.00,2380.0,20.7,81,1,ford escort 2h,29.9
353,4,105.0,74.00,2190.0,14.2,81,2,volkswagen jetta,33.0
354,4,100.0,?,2320.0,15.8,81,2,renault 18i,34.5
355,4,107.0,75.00,2210.0,14.4,81,3,honda prelude,33.7
356,4,108.0,75.00,2350.0,16.8,81,3,toyota corolla,32.4
357,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx,32.9
358,4,120.0,74.00,2635.0,18.3,81,3,mazda 626,31.6
359,4,141.0,80.00,3230.0,20.4,81,2,peugeot 505s turbo diesel,28.1
360,6,145.0,76.00,3160.0,19.6,81,2,volvo diesel,30.7
361,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida,25.4
362,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima,24.2
363,6,231.0,110.0,3415.0,15.8,81,1,buick century,22.4
364,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls,26.6
365,6,200.0,88.00,3060.0,17.1,81,1,ford granada gl,20.2
366,6,225.0,85.00,3465.0,16.6,81,1,chrysler lebaron salon,17.6
367,4,112.0,88.00,2605.0,19.6,82,1,chevrolet cavalier,28.0
368,4,112.0,88.00,2640.0,18.6,82,1,chevrolet cavalier wagon,27.0
369,4,112.0,88.00,2395.0,18.0,82,1,chevrolet cavalier 2-door,34.0
370,4,112.0,85.00,2575.0,16.2,82,1,pontiac j2000 se hatchback,31.0
371,4,135.0,84.00,2525.0,16.0,82,1,dodge aries se,29.0
372,4,151.0,90.00,2735.0,18.0,82,1,pontiac phoenix,27.0
373,4,140.0,92.00,2865.0,16.4,82,1,ford fairmont futura,24.0
374,4,151.0,?,3035.0,20.5,82,1,amc concord dl,23.0
375,4,105.0,74.00,1980.0,15.3,82,2,volkswagen rabbit l,36.0
376,4,91.0,68.00,2025.0,18.2,82,3,mazda glc custom l,37.0
377,4,91.0,68.00,1970.0,17.6,82,3,mazda glc custom,31.0
378,4,105.0,63.00,2125.0,14.7,82,1,plymouth horizon miser,38.0
379,4,98.0,70.00,2125.0,17.3,82,1,mercury lynx l,36.0
380,4,120.0,88.00,2160.0,14.5,82,3,nissan stanza xe,36.0
381,4,107.0,75.00,2205.0,14.5,82,3,honda accord,36.0
382,4,108.0,70.00,2245.0,16.9,82,3,toyota corolla,34.0
383,4,91.0,67.00,1965.0,15.0,82,3,honda civic,38.0
384,4,91.0,67.00,1965.0,15.7,82,3,honda civic (auto),32.0
385,4,91.0,67.00,1995.0,16.2,82,3,datsun 310 gx,38.0
386,6,181.0,110.0,2945.0,16.4,82,1,buick century limited,25.0
387,6,262.0,85.00,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel),38.0
388,4,156.0,92.00,2585.0,14.5,82,1,chrysler lebaron medallion,26.0
389,6,232.0,112.0,2835.0,14.7,82,1,ford granada l,22.0
390,4,144.0,96.00,2665.0,13.9,82,3,toyota celica gt,32.0
391,4,135.0,84.00,2370.0,13.0,82,1,dodge charger 2.2,36.0
392,4,151.0,90.00,2950.0,17.3,82,1,chevrolet camaro,27.0
393,4,140.0,86.00,2790.0,15.6,82,1,ford mustang gl,27.0
394,4,97.0,52.00,2130.0,24.6,82,2,vw pickup,44.0
395,4,135.0,84.00,2295.0,11.6,82,1,dodge rampage,32.0
396,4,120.0,79.00,2625.0,18.6,82,1,ford ranger,28.0
397,4,119.0,82.00,2720.0,19.4,82,1,chevy s-10,31.0
